Unix Time,open,high,low,close,Volume,Formatted Date
1766369706,88181.43,88181.44,88165.72,88165.72,6.11835000,22/12/2025 03:15
1766369766,88175.42,88175.42,88119.58,88122.95,1.68745000,22/12/2025 03:16
1766369827,88155.80,88163.53,88155.80,88163.52,0.48681000,22/12/2025 03:17
1766369887,88280.64,88281.15,88220.52,88232.42,4.66467000,22/12/2025 03:18
1766369947,88292.17,88301.46,88285.58,88285.58,0.80814000,22/12/2025 03:19
1766370008,88236.51,88250.69,88236.51,88237.52,1.68460000,22/12/2025 03:20
1766370068,88325.30,88325.30,88317.82,88317.83,0.10396000,22/12/2025 03:21
1766370129,88280.00,88295.17,88280.00,88295.17,0.91698000,22/12/2025 03:22
1766370189,88366.47,88417.99,88366.47,88417.99,1.62274000,22/12/2025 03:23
1766370249,88380.52,88428.00,88380.51,88427.96,1.37356000,22/12/2025 03:24
1766370310,88427.04,88427.04,88417.99,88418.00,0.27684000,22/12/2025 03:25
1766370370,88403.39,88403.40,88403.39,88403.40,0.17988000,22/12/2025 03:26
1766370431,88347.85,88347.85,88347.84,88347.84,0.10951000,22/12/2025 03:27
1766370491,88315.14,88315.14,88293.34,88293.34,1.04001000,22/12/2025 03:28
1766370551,88269.91,88282.43,88269.91,88282.43,0.82893000,22/12/2025 03:29
1766370612,88327.96,88327.96,88319.12,88319.13,1.14511000,22/12/2025 03:30
1766370672,88409.08,88427.05,88409.08,88427.05,0.82514000,22/12/2025 03:31
1766370732,88443.16,88443.17,88406.17,88406.18,0.31121000,22/12/2025 03:32
1766370793,88388.26,88388.26,88375.10,88375.11,0.44280000,22/12/2025 03:33
1766370853,88426.23,88426.23,88405.05,88405.05,1.04727000,22/12/2025 03:34
1766370914,88400.00,88439.64,88384.48,88439.64,2.93174000,22/12/2025 03:35
1766370974,88421.07,88480.09,88421.06,88480.08,2.01507000,22/12/2025 03:36
1766371035,88459.35,88473.33,88459.35,88473.33,0.85825000,22/12/2025 03:37
1766371095,88514.00,88514.00,88501.96,88501.98,0.51881000,22/12/2025 03:38
1766371156,88496.36,88525.85,88496.36,88525.85,2.58676000,22/12/2025 03:39
1766371216,88540.48,88541.92,88540.47,88541.91,0.09421000,22/12/2025 03:40
1766371276,88470.45,88470.46,88460.00,88460.00,2.02909000,22/12/2025 03:41
1766371337,88450.88,88450.88,88431.81,88431.82,0.62983000,22/12/2025 03:42
1766371397,88350.00,88350.01,88296.00,88305.85,2.06520000,22/12/2025 03:43
1766371458,88373.17,88379.99,88373.17,88379.99,2.53732000,22/12/2025 03:44
1766371519,88385.87,88426.75,88385.86,88421.23,2.25392000,22/12/2025 03:45
1766371579,88473.65,88487.75,88463.56,88487.75,1.23074000,22/12/2025 03:46
1766371639,88479.61,88538.04,88479.60,88538.03,2.75385000,22/12/2025 03:47
1766371700,88518.23,88539.99,88518.23,88529.54,1.03357000,22/12/2025 03:48
1766371760,88540.00,88548.25,88539.99,88548.25,0.24223000,22/12/2025 03:49
1766371821,88527.97,88549.26,88527.97,88549.25,1.97259000,22/12/2025 03:50
1766371882,88528.08,88531.31,88517.36,88527.46,0.64995000,22/12/2025 03:51
