Unix Time,Open,High,Low,Close,Volume,Formatted Date
1766436777,88195.22,88207.87,88195.22,88207.87,1.22435000,22/12/2025 21:52:57
1766436778,88207.87,88236.81,88207.87,88236.81,0.18940000,22/12/2025 21:52:58
1766436779,88236.81,88236.81,88236.81,88236.81,0.00151000,22/12/2025 21:52:59
1766436780,88236.80,88236.80,88224.44,88224.44,0.73181000,22/12/2025 21:53:00
1766436781,88224.45,88224.45,88224.45,88224.45,0.00007000,22/12/2025 21:53:01
1766436782,88224.44,88224.44,88224.44,88224.44,0.00756000,22/12/2025 21:53:02
1766436783,88224.44,88224.45,88220.04,88220.04,0.03684000,22/12/2025 21:53:03
1766436784,88220.03,88220.04,88218.01,88218.01,0.01224000,22/12/2025 21:53:04
1766436785,88218.01,88218.01,88206.79,88206.79,0.02834000,22/12/2025 21:53:05
1766436786,88206.80,88206.80,88206.80,88206.80,0.00351000,22/12/2025 21:53:06
1766436787,88206.80,88206.80,88206.80,88206.80,2.15624000,22/12/2025 21:53:07
1766436788,88206.80,88218.00,88206.80,88218.00,0.05263000,22/12/2025 21:53:08
1766436789,88218.00,88218.00,88218.00,88218.00,0.00064000,22/12/2025 21:53:09
1766436790,88218.00,88226.27,88218.00,88226.27,0.06941000,22/12/2025 21:53:10
1766436791,88226.27,88235.09,88226.27,88235.09,0.02043000,22/12/2025 21:53:11
1766436792,88235.09,88235.09,88235.09,88235.09,0.00214000,22/12/2025 21:53:12
1766436793,88235.09,88235.09,88235.09,88235.09,0.00020000,22/12/2025 21:53:13
1766436794,88235.08,88235.08,88235.08,88235.08,0.00044000,22/12/2025 21:53:14
1766436795,88235.09,88235.09,88235.09,88235.09,0.00804000,22/12/2025 21:53:15
1766436796,88235.09,88235.09,88235.09,88235.09,0.00000000,22/12/2025 21:53:16
1766436797,88235.08,88235.08,88235.08,88235.08,0.00391000,22/12/2025 21:53:17
1766436798,88235.09,88235.09,88235.09,88235.09,0.00033000,22/12/2025 21:53:18
1766436799,88235.09,88235.09,88235.09,88235.09,0.06602000,22/12/2025 21:53:19
1766436800,88235.09,88235.09,88235.08,88235.08,0.02417000,22/12/2025 21:53:20
1766436801,88235.08,88235.08,88235.08,88235.08,0.00000000,22/12/2025 21:53:21
1766436802,88235.09,88235.09,88235.09,88235.09,0.00302000,22/12/2025 21:53:22
1766436803,88235.08,88235.09,88235.08,88235.09,0.00543000,22/12/2025 21:53:23
1766436804,88235.09,88235.09,88235.08,88235.09,0.01398000,22/12/2025 21:53:24
1766436805,88235.09,88235.09,88235.08,88235.08,0.00542000,22/12/2025 21:53:25
1766436806,88235.09,88235.09,88235.09,88235.09,0.00020000,22/12/2025 21:53:26
1766436807,88235.09,88235.09,88235.08,88235.09,0.01868000,22/12/2025 21:53:27
1766436808,88235.09,88235.09,88235.09,88235.09,0.00036000,22/12/2025 21:53:28
1766436809,88235.08,88235.09,88235.08,88235.09,0.00047000,22/12/2025 21:53:29
1766436810,88235.08,88235.09,88235.08,88235.09,0.00051000,22/12/2025 21:53:30
1766436811,88235.09,88235.09,88235.09,88235.09,0.00417000,22/12/2025 21:53:31
1766436812,88235.09,88235.09,88235.08,88235.08,0.02125000,22/12/2025 21:53:32
1766436813,88235.08,88235.08,88235.08,88235.08,0.00000000,22/12/2025 21:53:33
1766436814,88235.08,88235.09,88235.08,88235.09,0.08283000,22/12/2025 21:53:34
1766436815,88235.09,88235.09,88235.08,88235.08,0.30120000,22/12/2025 21:53:35
1766436816,88235.08,88235.09,88235.08,88235.09,0.00040000,22/12/2025 21:53:36
1766436817,88235.09,88235.09,88235.09,88235.09,0.00000000,22/12/2025 21:53:37
1766436818,88235.08,88235.09,88235.08,88235.09,0.01226000,22/12/2025 21:53:38
1766436819,88235.08,88235.08,88235.08,88235.08,0.00123000,22/12/2025 21:53:39
1766436820,88235.08,88235.08,88235.08,88235.08,0.01137000,22/12/2025 21:53:40
1766436821,88235.09,88235.09,88235.09,88235.09,0.00411000,22/12/2025 21:53:41
1766436822,88235.09,88235.09,88235.08,88235.08,0.00279000,22/12/2025 21:53:42
1766436823,88235.08,88235.08,88235.08,88235.08,0.00050000,22/12/2025 21:53:43
1766436824,88235.08,88235.08,88235.08,88235.08,0.00056000,22/12/2025 21:53:44
1766436825,88235.08,88235.09,88235.08,88235.08,0.04476000,22/12/2025 21:53:45
1766436826,88235.08,88235.08,88235.08,88235.08,0.00050000,22/12/2025 21:53:46
1766436827,88235.09,88235.09,88235.09,88235.09,0.00267000,22/12/2025 21:53:47
1766436828,88235.09,88235.09,88235.09,88235.09,0.00008000,22/12/2025 21:53:48
1766436829,88235.08,88235.09,88235.08,88235.09,0.01136000,22/12/2025 21:53:49
1766436830,88235.09,88235.09,88235.09,88235.09,0.00589000,22/12/2025 21:53:50
1766436831,88235.09,88235.09,88235.09,88235.09,0.00000000,22/12/2025 21:53:51
1766436832,88235.08,88235.08,88235.08,88235.08,0.00014000,22/12/2025 21:53:52
1766436833,88235.09,88235.09,88235.08,88235.08,0.00022000,22/12/2025 21:53:53
1766436834,88235.08,88235.08,88235.08,88235.08,0.00007000,22/12/2025 21:53:54
1766436835,88235.09,88235.09,88235.09,88235.09,0.01582000,22/12/2025 21:53:55
1766436836,88235.08,88235.09,88235.08,88235.09,0.00028000,22/12/2025 21:53:56
1766436837,88235.09,88235.09,88235.09,88235.09,0.02273000,22/12/2025 21:53:57
1766436838,88235.09,88235.09,88235.09,88235.09,0.10186000,22/12/2025 21:53:58
1766436839,88235.08,88235.09,88235.08,88235.09,0.00945000,22/12/2025 21:53:59
1766436840,88235.09,88235.09,88235.08,88235.08,0.70035000,22/12/2025 21:54:00
1766436841,88235.09,88235.09,88235.09,88235.09,0.00009000,22/12/2025 21:54:01
1766436842,88235.09,88235.09,88235.08,88235.08,0.13813000,22/12/2025 21:54:02
1766436843,88235.08,88235.08,88235.08,88235.08,0.00060000,22/12/2025 21:54:03
1766436844,88235.08,88247.69,88235.08,88247.69,3.76500000,22/12/2025 21:54:04
1766436845,88247.69,88247.69,88247.69,88247.69,0.00027000,22/12/2025 21:54:05
1766436846,88247.69,88247.69,88247.68,88247.68,0.01229000,22/12/2025 21:54:06
1766436847,88247.69,88247.69,88247.69,88247.69,0.00018000,22/12/2025 21:54:07
1766436848,88247.68,88247.68,88222.17,88225.41,0.68370000,22/12/2025 21:54:08
1766436849,88225.41,88225.41,88225.41,88225.41,0.09674000,22/12/2025 21:54:09
1766436850,88225.41,88225.41,88225.41,88225.41,0.00000000,22/12/2025 21:54:10
1766436851,88225.41,88225.41,88225.41,88225.41,0.00000000,22/12/2025 21:54:11
1766436852,88225.41,88245.30,88225.41,88245.30,0.30701000,22/12/2025 21:54:12
1766436853,88245.30,88245.30,88245.30,88245.30,0.03624000,22/12/2025 21:54:13
1766436854,88245.30,88259.52,88245.30,88259.52,0.25642000,22/12/2025 21:54:14
1766436855,88259.52,88259.52,88259.52,88259.52,0.00258000,22/12/2025 21:54:15
1766436856,88259.52,88259.52,88259.52,88259.52,0.00936000,22/12/2025 21:54:16
1766436857,88259.52,88270.38,88259.52,88270.38,0.10532000,22/12/2025 21:54:17
1766436858,88259.52,88270.38,88259.52,88270.38,0.10532000,22/12/2025 21:54:18
1766436859,88270.38,88270.38,88270.38,88270.38,0.00005000,22/12/2025 21:54:19
1766436860,88270.37,88270.38,88270.37,88270.38,0.00943000,22/12/2025 21:54:20
1766436861,88270.38,88270.38,88270.37,88270.38,0.06436000,22/12/2025 21:54:21
1766436862,88270.38,88270.38,88270.38,88270.38,0.00065000,22/12/2025 21:54:22
1766436863,88270.38,88270.38,88270.38,88270.38,0.00176000,22/12/2025 21:54:23
1766436864,88270.38,88270.38,88270.38,88270.38,0.00060000,22/12/2025 21:54:24
1766436865,88270.37,88270.37,88270.37,88270.37,0.01639000,22/12/2025 21:54:25
1766436866,88270.38,88270.38,88264.19,88264.19,0.12220000,22/12/2025 21:54:26
1766436867,88264.19,88264.19,88262.10,88262.10,0.00986000,22/12/2025 21:54:27
1766436868,88262.11,88262.11,88244.00,88244.01,0.18826000,22/12/2025 21:54:28
1766436869,88244.01,88244.01,88244.01,88244.01,0.00587000,22/12/2025 21:54:29
1766436870,88244.01,88244.01,88244.01,88244.01,0.00587000,22/12/2025 21:54:30
1766436871,88244.00,88244.00,88239.05,88239.05,0.07357000,22/12/2025 21:54:31
1766436872,88238.38,88238.38,88238.38,88238.38,0.00087000,22/12/2025 21:54:32
1766436873,88238.37,88238.37,88238.37,88238.37,0.00664000,22/12/2025 21:54:33
1766436874,88238.37,88238.37,88238.37,88238.37,0.00000000,22/12/2025 21:54:34
1766436875,88238.37,88238.37,88238.37,88238.37,0.03860000,22/12/2025 21:54:35
1766436876,88238.37,88238.37,88236.00,88236.01,0.01152000,22/12/2025 21:54:36
1766436877,88236.01,88236.01,88236.01,88236.01,0.00079000,22/12/2025 21:54:37
1766436878,88236.00,88236.00,88225.41,88225.41,0.04649000,22/12/2025 21:54:38
